,text,table,tr,td
113,Intellectual Property,table[2],tr[9],td[2]
114,44,table[2],tr[9],td[3]
115,Section 4.21,table[2],tr[10],td[1]
116,Properties,table[2],tr[10],td[2]
117,46,table[2],tr[10],td[3]
118,Section 4.22,table[2],tr[11],td[1]
119,Privacy and Data Security,table[2],tr[11],td[2]
120,47,table[2],tr[11],td[3]
121,Section 4.23,table[2],tr[12],td[1]
122,Brokers’ Fees,table[2],tr[12],td[2]
123,48,table[2],tr[12],td[3]
124,Section 4.24,table[2],tr[13],td[1]
125,Opinion of Financial Advisor,table[2],tr[13],td[2]
126,48,table[2],tr[13],td[3]
127,Section 4.25,table[2],tr[14],td[1]
128,Trade Practices,table[2],tr[14],td[2]
129,49,table[2],tr[14],td[3]
130,Section 4.26,table[2],tr[15],td[1]
131,International Trade Laws,table[2],tr[15],td[2]
132,49,table[2],tr[15],td[3]
133,Section 4.27,table[2],tr[16],td[1]
134,Macquarie/GCM Merger Agreement.,table[2],tr[16],td[2]
135,49,table[2],tr[16],td[3]
136,ARTICLE 5,table[2],tr[17],td[1]
137,REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,table[2],tr[17],td[1]
138,50,table[2],tr[17],td[2]
139,Section 5.01,table[2],tr[18],td[1]
140,"Organization, Standing and Power",table[2],tr[18],td[2]
141,50,table[2],tr[18],td[3]
142,Section 5.02,table[2],tr[19],td[1]
143,Corporate Authorization,table[2],tr[19],td[2]
144,50,table[2],tr[19],td[3]
145,Section 5.03,table[2],tr[20],td[1]
146,Governmental Authorization,table[2],tr[20],td[2]
147,50,table[2],tr[20],td[3]
148,Section 5.04,table[2],tr[21],td[1]
149,Non-contravention,table[2],tr[21],td[2]
150,50,table[2],tr[21],td[3]
151,Section 5.05,table[2],tr[22],td[1]
152,Capitalization and Operation of Merger Sub,table[2],tr[22],td[2]
153,51,table[2],tr[22],td[3]
154,Section 5.06,table[2],tr[23],td[1]
155,No Vote of Parent Stockholders; Required Approval,table[2],tr[23],td[2]
156,51,table[2],tr[23],td[3]
157,Section 5.07,table[2],tr[24],td[1]
158,Litigation,table[2],tr[24],td[2]
159,51,table[2],tr[24],td[3]
160,Section 5.08,table[2],tr[25],td[1]
161,Financing,table[2],tr[25],td[2]
162,52,table[2],tr[25],td[3]
163,Section 5.09,table[2],tr[26],td[1]
164,Solvency,table[2],tr[26],td[2]
165,53,table[2],tr[26],td[3]
166,Section 5.10,table[2],tr[27],td[1]
167,Guarantees,table[2],tr[27],td[2]
168,53,table[2],tr[27],td[3]
169,Section 5.11,table[2],tr[28],td[1]
170,Absence of Certain Agreements,table[2],tr[28],td[2]
171,53,table[2],tr[28],td[3]
172,Section 5.12,table[2],tr[29],td[1]
173,Stock Ownership,table[2],tr[29],td[2]
174,54,table[2],tr[29],td[3]
175,Section 5.13,table[2],tr[30],td[1]
176,Equity Investors,table[2],tr[30],td[2]
177,54,table[2],tr[30],td[3]
178,ARTICLE 6,table[2],tr[31],td[1]
179,COVENANTS,table[2],tr[31],td[1]
180,54,table[2],tr[31],td[2]
181,Section 6.01,table[2],tr[32],td[1]
182,Conduct of the Company,table[2],tr[32],td[2]
183,54,table[2],tr[32],td[3]
184,Section 6.02,table[3],tr[1],td[1]
185,No Solicitation,table[3],tr[1],td[2]
186,58,table[3],tr[1],td[3]
187,Section 6.03,table[3],tr[2],td[1]
188,Company Recommendation,table[3],tr[2],td[2]
189,60,table[3],tr[2],td[3]
190,Section 6.04,table[3],tr[3],td[1]
191,Preparation of Proxy Statement; Stockholders’ Meeting,table[3],tr[3],td[2]
192,63,table[3],tr[3],td[3]
193,Section 6.05,table[3],tr[4],td[1]
194,Access to Information,table[3],tr[4],td[2]
195,64,table[3],tr[4],td[3]
196,Section 6.06,table[3],tr[5],td[1]
197,Notice of Certain Events,table[3],tr[5],td[2]
198,65,table[3],tr[5],td[3]
199,Section 6.07,table[3],tr[6],td[1]
200,Employee Benefit Plan Matters,table[3],tr[6],td[2]
201,65,table[3],tr[6],td[3]
202,Section 6.08,table[3],tr[7],td[1]
203,State Takeover Laws,table[3],tr[7],td[2]
204,67,table[3],tr[7],td[3]
205,Section 6.09,table[3],tr[8],td[1]
206,Obligations of Merger Sub,table[3],tr[8],td[2]
207,67,table[3],tr[8],td[3]
208,Section 6.10,table[3],tr[9],td[1]
209,Voting of Shares,table[3],tr[9],td[2]
210,67,table[3],tr[9],td[3]
211,Section 6.11,table[3],tr[10],td[1]
212,"Director and Officer Indemnification, Exculpation and Insurance",table[3],tr[10],td[2]
213,68,table[3],tr[10],td[3]
214,Section 6.12,table[3],tr[11],td[1]
215,Further Action; Regulatory Approvals; Reasonable Best Efforts,table[3],tr[11],td[2]
216,69,table[3],tr[11],td[3]
217,Section 6.13,table[3],tr[12],td[1]
218,Stockholder Litigation,table[3],tr[12],td[2]
219,72,table[3],tr[12],td[3]
220,Section 6.14,table[3],tr[13],td[1]
221,Public Announcements,table[3],tr[13],td[2]
222,72,table[3],tr[13],td[3]
223,Section 6.15,table[3],tr[14],td[1]
224,Further Assurances,table[3],tr[14],td[2]
225,73,table[3],tr[14],td[3]
226,Section 6.16,table[3],tr[15],td[1]
227,Section 16 Matters,table[3],tr[15],td[2]
228,73,table[3],tr[15],td[3]
229,Section 6.17,table[3],tr[16],td[1]
230,Financing,table[3],tr[16],td[2]
231,74,table[3],tr[16],td[3]
232,Section 6.18,table[3],tr[17],td[1]
233,Confidentiality,table[3],tr[17],td[2]
234,76,table[3],tr[17],td[3]
235,Section 6.19,table[3],tr[18],td[1]
236,Director Resignations,table[3],tr[18],td[2]
237,77,table[3],tr[18],td[3]
238,Section 6.20,table[3],tr[19],td[1]
239,Merger Sub Expenditure; Parent Distributions,table[3],tr[19],td[2]
240,77,table[3],tr[19],td[3]
241,Section 6.21,table[3],tr[20],td[1]
242,Stock Market De-Listing,table[3],tr[20],td[2]
243,77,table[3],tr[20],td[3]
244,Section 6.22,table[3],tr[21],td[1]
245,Standstill,table[3],tr[21],td[2]
246,78,table[3],tr[21],td[3]
247,ARTICLE 7,table[3],tr[22],td[1]
248,CONDITIONS TO THE MERGER,table[3],tr[22],td[1]
249,78,table[3],tr[22],td[2]
250,Section 7.01,table[3],tr[23],td[1]
251,Conditions to the Obligations of Each Party,table[3],tr[23],td[2]
252,78,table[3],tr[23],td[3]
253,Section 7.02,table[3],tr[24],td[1]
254,Conditions to the Obligations of Parent and Merger Sub,table[3],tr[24],td[2]
255,79,table[3],tr[24],td[3]
256,Section 7.03,table[3],tr[25],td[1]
257,Conditions to the Obligations of the Company,table[3],tr[25],td[2]
258,80,table[3],tr[25],td[3]
259,Section 7.04,table[3],tr[26],td[1]
260,Frustration of Closing Conditions,table[3],tr[26],td[2]
261,80,table[3],tr[26],td[3]
262,ARTICLE 8,table[3],tr[27],td[1]
263,TERMINATION,table[3],tr[27],td[1]
264,80,table[3],tr[27],td[2]
265,Section 8.01,table[3],tr[28],td[1]
266,Termination,table[3],tr[28],td[2]
267,80,table[3],tr[28],td[3]
268,Section 8.02,table[3],tr[29],td[1]
269,Effect of Termination,table[3],tr[29],td[2]
270,82,table[3],tr[29],td[3]
271,ARTICLE 9,table[3],tr[30],td[1]
272,MISCELLANEOUS,table[3],tr[30],td[1]
273,82,table[3],tr[30],td[2]
274,Section 9.01,table[3],tr[31],td[1]
275,Notices,table[3],tr[31],td[2]
276,82,table[3],tr[31],td[3]
277,Section 9.02,table[3],tr[32],td[1]
278,Nonsurvival of Representations and Warranties,table[3],tr[32],td[2]
279,83,table[3],tr[32],td[3]
280,Section 9.03,table[4],tr[1],td[1]
281,Amendments and Waivers,table[4],tr[1],td[2]
282,83,table[4],tr[1],td[3]
283,Section 9.04,table[4],tr[2],td[1]
284,Fees and Expenses,table[4],tr[2],td[2]
285,84,table[4],tr[2],td[3]
286,Section 9.05,table[4],tr[3],td[1]
287,Assignment; Benefit,table[4],tr[3],td[2]
288,86,table[4],tr[3],td[3]
289,Section 9.06,table[4],tr[4],td[1]
290,Governing Law,table[4],tr[4],td[2]
291,86,table[4],tr[4],td[3]
292,Section 9.07,table[4],tr[5],td[1]
293,Jurisdiction,table[4],tr[5],td[2]
294,86,table[4],tr[5],td[3]
295,Section 9.08,table[4],tr[6],td[1]
296,Waiver of Jury Trial,table[4],tr[6],td[2]
297,86,table[4],tr[6],td[3]
298,Section 9.09,table[4],tr[7],td[1]
299,Specific Performance,table[4],tr[7],td[2]
300,87,table[4],tr[7],td[3]
301,Section 9.10,table[4],tr[8],td[1]
302,Severability,table[4],tr[8],td[2]
303,88,table[4],tr[8],td[3]
304,Section 9.11,table[4],tr[9],td[1]
305,Parent Guarantee,table[4],tr[9],td[2]
306,88,table[4],tr[9],td[3]
307,Section 9.12,table[4],tr[10],td[1]
308,Entire Agreement; No Reliance; Access to Information,table[4],tr[10],td[2]
309,88,table[4],tr[10],td[3]
310,Section 9.13,table[4],tr[11],td[1]
311,No Presumption Against Drafting Party,table[4],tr[11],td[2]
312,89,table[4],tr[11],td[3]
313,Section 9.14,table[4],tr[12],td[1]
314,Counterparts; Effectiveness,table[4],tr[12],td[2]
315,90,table[4],tr[12],td[3]
316,Section 9.15,table[4],tr[13],td[1]
317,Debt Financing Matters,table[4],tr[13],td[2]
318,90,table[4],tr[13],td[3]
319,Section 9.16,table[4],tr[14],td[1]
320,Limitation on Recourse,table[4],tr[14],td[2]
321,91,table[4],tr[14],td[3]
322,Section 9.17,table[4],tr[15],td[1]
323,Transfer Taxes,table[4],tr[15],td[2]
324,91,table[4],tr[15],td[3]
325,Term,table[5],tr[1],td[1]
326,Section,table[5],tr[1],td[2]
327,Adverse Recommendation Change,table[5],tr[2],td[1]
328,6.03(a),table[5],tr[2],td[2]
329,Agreement,table[5],tr[3],td[1]
330,Preamble,table[5],tr[3],td[2]
331,Alternative Debt Financing,table[5],tr[4],td[1]
332,6.17(f),table[5],tr[4],td[2]
333,Capitalization Date,table[5],tr[5],td[1]
334,4.05(a),table[5],tr[5],td[2]
335,Cash Award Payments,table[5],tr[6],td[1]
336,6.07(e),table[5],tr[6],td[2]
337,Certificate of Merger,table[5],tr[7],td[1]
338,2.02(a),table[5],tr[7],td[2]
339,Certificates,table[5],tr[8],td[1]
340,2.04(a),table[5],tr[8],td[2]
341,Closing,table[5],tr[9],td[1]
342,2.01,table[5],tr[9],td[2]
343,COBRA,table[5],tr[10],td[1]
344,4.16(k),table[5],tr[10],td[2]
345,Communications Act,table[5],tr[11],td[1]
346,4.03,table[5],tr[11],td[2]
347,Communications Consents,table[5],tr[12],td[1]
348,7.01(d),table[5],tr[12],td[2]
349,Company,table[5],tr[13],td[1]
350,Preamble,table[5],tr[13],td[2]
351,Term,table[6],tr[1],td[1]
352,Section,table[6],tr[1],td[2]
353,Company Common Stock,table[6],tr[2],td[1]
354,4.05(a),table[6],tr[2],td[2]
355,Company Communications Licenses,table[6],tr[3],td[1]
356,4.12(c),table[6],tr[3],td[2]
357,Company FCC Licenses,table[6],tr[4],td[1]
358,4.12(c),table[6],tr[4],td[2]
359,Company Preferred Stock,table[6],tr[5],td[1]
360,4.05(a),table[6],tr[5],td[2]
361,Company Recommendation,table[6],tr[6],td[1]
362,4.02(b),table[6],tr[6],td[2]
363,Company Recovery Costs,table[6],tr[7],td[1]
364,9.04(c),table[6],tr[7],td[2]
365,Company Registrations,table[6],tr[8],td[1]
366,4.20(a),table[6],tr[8],td[2]
367,Company Related Parties,table[6],tr[9],td[1]
368,9.04(b),table[6],tr[9],td[2]
369,Company SEC Documents,table[6],tr[10],td[1]
370,Article 4,table[6],tr[10],td[2]
371,Company Securities,table[6],tr[11],td[1]
372,4.05(c),table[6],tr[11],td[2]
373,Company State Licenses,table[6],tr[12],td[1]
374,4.12(c),table[6],tr[12],td[2]
375,Confidentiality Agreement,table[6],tr[13],td[1]
376,6.18,table[6],tr[13],td[2]
377,Continuing Employees,table[6],tr[14],td[1]
378,6.07(a),table[6],tr[14],td[2]
379,Current Premium,table[6],tr[15],td[1]
380,6.11(a),table[6],tr[15],td[2]
381,Debt Financing,table[6],tr[16],td[1]
382,6.17(a),table[6],tr[16],td[2]
383,Debt Financing Commitment Letter,table[6],tr[17],td[1]
384,5.08,table[6],tr[17],td[2]
385,Deferred Stock Award Payments,table[6],tr[18],td[1]
386,2.06(c),table[6],tr[18],td[2]
387,DGCL,table[6],tr[19],td[1]
388,Recitals,table[6],tr[19],td[2]
389,DOJ,table[6],tr[20],td[1]
390,6.12(b),table[6],tr[20],td[2]
391,Effective Time,table[6],tr[21],td[1]
392,2.02(b),table[6],tr[21],td[2]
393,End Date,table[6],tr[22],td[1]
394,8.01(b),table[6],tr[22],td[2]
395,Equity Commitment Letters,table[6],tr[23],td[1]
396,Recitals,table[6],tr[23],td[2]
397,Equity Financing,table[6],tr[24],td[1]
398,5.08,table[6],tr[24],td[2]
399,Equity Investors,table[6],tr[25],td[1]
400,Recitals,table[6],tr[25],td[2]
401,Exchange Agent,table[6],tr[26],td[1]
402,2.04(a),table[6],tr[26],td[2]
403,Excluded Benefits,table[6],tr[27],td[1]
404,6.07(a),table[6],tr[27],td[2]
405,FAA,table[6],tr[28],td[1]
406,4.12(d),table[6],tr[28],td[2]
407,FAA Rules,table[6],tr[29],td[1]
408,4.12(h),table[6],tr[29],td[2]
409,FCC,table[6],tr[30],td[1]
410,4.03,table[6],tr[30],td[2]
411,FCC Rules,table[6],tr[31],td[1]
412,4.03,table[6],tr[31],td[2]
413,Final Exercise Date,table[6],tr[32],td[1]
414,2.06(d),table[6],tr[32],td[2]
415,Financing Commitment Letters,table[6],tr[33],td[1]
416,5.08,table[6],tr[33],td[2]
417,FTC,table[6],tr[34],td[1]
418,6.12(b),table[6],tr[34],td[2]
419,Guarantees,table[6],tr[35],td[1]
420,Recitals,table[6],tr[35],td[2]
421,Guarantor,table[6],tr[36],td[1]
422,Recitals,table[6],tr[36],td[2]
423,Indemnified Party,table[6],tr[37],td[1]
424,6.11(b),table[6],tr[37],td[2]
425,Insurance Policies,table[6],tr[38],td[1]
426,4.18,table[6],tr[38],td[2]
427,Investor Entities,table[6],tr[39],td[1]
428,5.12,table[6],tr[39],td[2]
429,IRS,table[6],tr[40],td[1]
430,4.16(a),table[6],tr[40],td[2]
431,Leased Real Property,table[6],tr[41],td[1]
432,4.21,table[6],tr[41],td[2]
433,Localities,table[6],tr[42],td[1]
434,4.03,table[6],tr[42],td[2]
435,Locality Permits,table[6],tr[43],td[1]
436,4.12(c),table[6],tr[43],td[2]
437,Malicious Code,table[6],tr[44],td[1]
438,4.20(i),table[6],tr[44],td[2]
439,Material Contract,table[6],tr[45],td[1]
440,4.14(b),table[6],tr[45],td[2]
441,Merger,table[6],tr[46],td[1]
442,Recitals,table[6],tr[46],td[2]
443,Term,table[7],tr[1],td[1]
444,Section,table[7],tr[1],td[2]
445,Merger Consideration,table[7],tr[2],td[1]
446,2.03(a),table[7],tr[2],td[2]
447,Merger Sub,table[7],tr[3],td[1]
448,Preamble,table[7],tr[3],td[2]
449,Multiemployer Plan,table[7],tr[4],td[1]
450,4.16(d),table[7],tr[4],td[2]
451,Notice of Intervening Event,table[7],tr[5],td[1]
452,6.03(b)(iii)(A),table[7],tr[5],td[2]
453,Notice of Superior Proposal,table[7],tr[6],td[1]
454,6.03(b)(ii)(A),table[7],tr[6],td[2]
455,Owned Real Property,table[7],tr[7],td[1]
456,4.21,table[7],tr[7],td[2]
457,Parent,table[7],tr[8],td[1]
458,Preamble,table[7],tr[8],td[2]
459,Parent Benefit Plans,table[7],tr[9],td[1]
460,6.07(a),table[7],tr[9],td[2]
461,Parent Expenses,table[7],tr[10],td[1]
462,9.04(c),table[7],tr[10],td[2]
463,Parent Recovery Costs,table[7],tr[11],td[1]
464,9.04(b),table[7],tr[11],td[2]
465,Parent Related Parties,table[7],tr[12],td[1]
466,9.04(c),table[7],tr[12],td[2]
467,Payment Fund,table[7],tr[13],td[1]
468,2.04(a),table[7],tr[13],td[2]
469,PBGC,table[7],tr[14],td[1]
470,4.16(c),table[7],tr[14],td[2]
471,Pension Plan,table[7],tr[15],td[1]
472,4.16(c),table[7],tr[15],td[2]
473,Proxy Statement,table[7],tr[16],td[1]
474,6.04(a),table[7],tr[16],td[2]
475,PSU Award Payments,table[7],tr[17],td[1]
476,2.06(b),table[7],tr[17],td[2]
477,PUCs,table[7],tr[18],td[1]
478,4.03,table[7],tr[18],td[2]
479,Real Property,table[7],tr[19],td[1]
480,4.21,table[7],tr[19],td[2]
481,Remedy Actions,table[7],tr[20],td[1]
482,6.12(f),table[7],tr[20],td[2]
483,Required Amount,table[7],tr[21],td[1]
484,5.08,table[7],tr[21],td[2]
485,RSU Award Payments,table[7],tr[22],td[1]
486,2.06(a),table[7],tr[22],td[2]
487,Solvent,table[7],tr[23],td[1]
488,5.09,table[7],tr[23],td[2]
489,Specific Performance Conditions,table[7],tr[24],td[1]
490,9.09(a),table[7],tr[24],td[2]
491,Stockholder Approval,table[7],tr[25],td[1]
492,4.02(a),table[7],tr[25],td[2]
493,Stockholder Meeting,table[7],tr[26],td[1]
494,6.04(a),table[7],tr[26],td[2]
495,Superior Proposal Notice Period,table[7],tr[27],td[1]
496,6.03(b)(ii)(A),table[7],tr[27],td[2]
497,Surviving Corporation,table[7],tr[28],td[1]
498,2.02(c),table[7],tr[28],td[2]
499,Transfer Taxes,table[7],tr[29],td[1]
500,9.17,table[7],tr[29],td[2]
501,Third Party Intellectual Property,table[7],tr[30],td[1]
502,4.20(e),table[7],tr[30],td[2]
503,USAC,table[7],tr[31],td[1]
504,4.12(d),table[7],tr[31],td[2]
505,Attention:,table[8],tr,td[2]
506,Michael T. Prior,table[8],tr,td[3]
507,Mary Mabey,table[8],tr,td[3]
508,Attention:,table[9],tr,td[2]
509,Mitchell Presser,table[9],tr,td[3]
510,David Slotkin,table[9],tr,td[3]
511,E-Mail:,table[10],tr,td[2]
512,MPresser@mofo.com,table[10],tr,td[3]
513,;,table[10],tr,td[3]
514,DSlotkin@mofo.com,table[10],tr,td[3]
515,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.",table[11],tr[1],td[2]
516,By:,table[11],tr[4],td[2]
517,/s/ William H. Bishop,table[11],tr[4],td[2]
518,Name: William H. Bishop,table[11],tr[6],td[2]
519,Title: President and Chief Executive Officer,table[11],tr[8],td[2]
520,"PROJECT 8 BUYER, LLC",table[11],tr[11],td[2]
521,By:,table[11],tr[14],td[2]
522,/s/ Michael T. Prior,table[11],tr[14],td[2]
523,Name: Michael T. Prior,table[11],tr[16],td[2]
524,Title: President,table[11],tr[18],td[2]
525,"PROJECT 8 MERGERSUB, INC.",table[11],tr[21],td[2]
526,By:,table[11],tr[24],td[2]
527,/s/ Michael T. Prior,table[11],tr[24],td[2]
528,Name: Michael T. Prior,table[11],tr[26],td[2]
529,Title: President,table[11],tr[28],td[2]
